,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Aripuanã,96,BR,1617749582,92,-9.1667,-60.6333,75.34,2.13
1,Ushuaia,75,AR,1617749586,66,-54.8,-68.3,51.8,6.26
2,Fairbanks,1,US,1617749538,67,64.8378,-147.7164,15.01,3.44
3,Fort Nelson,90,CA,1617749768,69,58.8053,-122.7002,30.2,9.22
4,Bluff,100,NZ,1617749769,82,-46.6,168.3333,57.99,8.99
5,Chui,8,UY,1617749769,88,-33.6971,-53.4616,67.3,7.52
6,Río Gallegos,20,AR,1617749767,87,-51.6226,-69.2181,51.8,8.05
7,Puerto Madryn,99,AR,1617749770,87,-42.7692,-65.0385,66.79,11.95
8,Albany,20,US,1617749639,23,42.6001,-73.9662,64.4,8.05
9,Saint George,1,US,1617749770,8,37.1041,-113.5841,75.0,18.41
10,East London,54,ZA,1617749770,81,-33.0153,27.9116,65.93,14.23
11,Abbeville,73,FR,1617749771,83,50.1,1.8333,32.0,5.82
12,Aktau,0,KZ,1617749771,81,43.65,51.2,39.2,8.95
13,Butaritari,100,KI,1617749771,80,3.0707,172.7902,79.95,8.46
14,Coquimbo,0,CL,1617749772,77,-29.9533,-71.3436,62.6,11.5
15,Tignère,65,CM,1617749772,23,7.3667,12.65,78.24,2.06
16,Busselton,81,AU,1617749772,98,-33.65,115.3333,61.0,1.01
17,Tucuruí,70,BR,1617749773,74,-3.7661,-49.6725,80.35,3.83
18,Punta Arenas,75,CL,1617749773,87,-53.15,-70.9167,48.2,11.5
19,Avarua,90,CK,1617749773,65,-21.2078,-159.775,82.4,13.8
20,Mataura,100,NZ,1617749774,82,-46.1927,168.8643,57.99,8.99
21,Kurumkan,28,RU,1617749774,79,54.3,110.3,25.88,2.77
22,Sandnessjøen,40,NO,1617749774,65,66.0217,12.6316,37.4,21.85
23,Barrow,20,US,1617749773,71,71.2906,-156.7887,-2.2,9.22
24,Qaanaaq,100,GL,1617749769,82,77.484,-69.3632,-0.81,2.28
